name,risk,lat,lon
Lubbock,4.648488619055E-18,33.5778631,-101.8551665
Bloomington,4.32521614544625E-18,39.1670396,-86.5342881
Pensacola,4.2218108860225E-18,30.421309,-87.2169149
Lincoln,4.19835488145375E-18,40.8000554,-96.6674005
Dubuque,4.19835488145375E-18,42.5006217,-90.6647967
Harlingen,4.0074319547725E-18,26.1906306,-97.6961026
Huntsville,3.84917395489625E-18,34.577718,-86.83583561
Pasco,3.65570014457E-18,28.2996183,-82.4522702
Saginaw,3.1392806812975E-18,43.4200387,-83.9490365
Asheville,2.925764518295E-18,35.6009498,-82.5540161
Bismarck,2.925764518295E-18,46.8083268,-100.7837392
Erie,2.88399761105125E-18,42.129461,-80.085239
White Plains,2.88399761105125E-18,41.0339862,-73.7629097
La Crosse,2.88399761105125E-18,43.8804365,-91.25484113
Toledo,2.7989032543025E-18,41.6786754,-83.5127283
Roanoke,2.7989032543025E-18,37.270973,-79.9414313
Eau Claire,2.7989032543025E-18,44.811349,-91.4984941
Muskegon,2.7989032543025E-18,43.2341813,-86.2483921
Paducah,2.7989032543025E-18,37.0833893,-88.6000478
Kalispell,2.37861695528125E-18,48.2022563,-114.3167117
Mammoth Lakes,2.15699938406625E-18,37.6432525,-118.9668509
Panama City,1.88203979907375E-18,30.1600827,-85.6545729
Chattanooga,1.65317415513625E-18,35.0456297,-85.3096801
Manhattan,1.65317415513625E-18,40.7902778,-73.9597222
Lafayette,1.6517732756575E-18,30.2240897,-92.0198427
Bangor,1.6466087626425E-18,44.8011821,-68.7778138
Shreveport,1.5497688957125E-18,32.4828485,-93.82848316
Joplin,1.52631289114375E-18,37.0842271,-94.513281
Corpus Christi,1.524912011665E-18,27.8002542,-97.3955744
Sioux City,1.39945162715125E-18,42.4966815,-96.4058782
Meridian,1.39945162715125E-18,32.376096,-88.68978607
Waterloo,1.39945162715125E-18,43.4655524,-80.5217786
Lewisburg,1.39945162715125E-18,40.9645293,-76.8844101
Baton Rouge,1.3980507476725E-18,30.4507462,-91.154551
Bellingham,1.30555377084E-18,48.754402,-122.4788602
Missoula,1.232887856115E-18,46.879583,-113.921459
Mobile,1.169185103735E-18,30.6943566,-88.0430541
Brownsville,1.169185103735E-18,25.9140256,-97.4890856
Lake Charles,1.169185103735E-18,30.2265949,-93.2173759
Laredo,1.06718072379E-18,27.5060991,-99.5088979
Amarillo,9.65176343845E-19,35.2072185,-101.8338246
Bakersfield,8.450654241725E-19,35.3738712,-119.0194639
College Station,8.383150798525E-19,30.6262616,-96.3347249
Billings,7.796381494125E-19,45.7874957,-108.49607
Tyler,6.343063199625E-19,32.3512601,-95.3010624
Durango,6.09449435915E-19,24.833333,-104.833333
Abilene,5.0744505597E-19,32.4464534,-99.7333478
Monroe,4.825881719225E-19,38.2722313,-90.1792484
Wichita,3.805837919775E-19,37.6922361,-97.3375448
Montgomery,3.805837919775E-19,32.3669656,-86.3006485
Wichita Falls,3.805837919775E-19,33.9137085,-98.4933873
Lawton,3.805837919775E-19,34.6086854,-98.3903305
San Angelo,3.805837919775E-19,31.4319925,-100.4545797
Fort Smith,3.805837919775E-19,35.3872218,-94.4248983
Helena,3.2638844271E-19,46.5927122,-112.036109
Roswell,2.53722527985E-19,33.3942655,-104.5230242
Santa Fe,2.53722527985E-19,35.6869996,-105.9377997
Grand Junction,2.53722527985E-19,39.063956,-108.5507317
Texarkana,2.53722527985E-19,33.425125,-94.0476882
Hobbs,2.288656439375E-19,32.7026116,-103.1360403
Ithaca,1.701887134975E-19,42.4396039,-76.4968019
Tallahassee,1.268612639925E-19,30.4380832,-84.2809332
Waco,1.268612639925E-19,31.549333,-97.1466695
Gainesville,1.268612639925E-19,29.651907,-82.3247976
Rapid City,1.268612639925E-19,44.0811755,-103.228006
Flagstaff,1.268612639925E-19,35.199458,-111.6514259
Cheyenne,1.268612639925E-19,41.1399814,-104.8202462
Grand Island,1.268612639925E-19,40.9250124,-98.342007
Garden City,1.268612639925E-19,37.9716898,-100.8726618
Binghamton,8.509435674875E-20,42.096968,-75.914341
Newburgh,8.509435674875E-20,41.5034271,-74.0104179
Escanaba,8.509435674875E-20,45.7455707,-87.0647434
Alpena,8.509435674875E-20,45.0616794,-83.4327528
