New York,3.101583418029776e-16
San Francisco,1.9708556532240738e-16
Miami,1.7311820413373505e-16
Houston,1.554315734282878e-16
Los Angeles,1.4925322696470285e-16
Chicago,1.4297891992586293e-16
Portland,1.2892741109655773e-16
Las Vegas,1.148367998071079e-16
Orlando,1.0263580277575454e-16
Atlanta,1.0047443176051514e-16
Boston,9.30942244461739e-17
Dallas,8.768689653003519e-17
Denver,8.631343794164444e-17
Phoenix,8.153156910138693e-17
Jackson,7.950913792337503e-17
Seattle,7.780746746050068e-17
Columbus,7.635003694760008e-17
Charlotte,7.566789317186946e-17
Salt Lake City,6.759341252590373e-17
San Diego,6.750167240203125e-17
Rochester,6.076727095188755e-17
Detroit,6.072021452224125e-17
Minneapolis,5.579754251621939e-17
Austin,4.7844750818982486e-17
Philadelphia,4.745553135676749e-17
Tampa,4.5646471414613744e-17
Sacramento,4.4358754532360005e-17
Jacksonville,4.4191229685020003e-17
Nashville,4.045583444786688e-17
Indianapolis,3.889404245572313e-17
Raleigh,3.8558447363926875e-17
San Juan,3.766188780505875e-17
San Jose,3.731383074313125e-17
Charleston,3.6913671932187507e-17
Pittsburgh,3.6837088875238126e-17
Cleveland,3.638630834490125e-17
Honolulu,3.556748706085812e-17
New Orleans,2.996759068533187e-17
San Antonio,2.7471122508375004e-17
Kansas City,2.6819073011950634e-17
Albany,2.6519135257682517e-17
Santa Ana,2.6478339662637515e-17
Springfield,2.4703702211660004e-17
Reno,2.4089944224444995e-17
Grand Rapids,2.333448750483626e-17
Buffalo,2.2837105660105003e-17
Milwaukee,2.2605017905416878e-17
Omaha,2.2470761700437503e-17
Kahului,2.1942949971893746e-17
Madison,2.097917200676251e-17
Richmond,2.0735387455058752e-17
Syracuse,2.027109265294563e-17
Newark,1.975930515171e-17
Norfolk,1.9474525069215627e-17
Columbia,1.806203216574e-17
Palm Springs,1.774416649414875e-17
Louisville,1.7395242315963755e-17
Burlington,1.72942565606e-17
El Paso,1.72681839257125e-17
Des Moines,1.663133733595125e-17
Albuquerque,1.65928189193925e-17
Memphis,1.6335649415697505e-17
Boise,1.563147483273125e-17
Aspen,1.5524237316123748e-17
Savannah,1.485882433877312e-17
Green Bay,1.4249799341758754e-17
Spokane,1.3806875737362498e-17
Bozeman,1.3239361800138748e-17
Cedar Rapids,1.314583714983625e-17
Fresno,1.2825993507409997e-17
Eugene,1.2214645463613747e-17
Burbank,1.1921789042759372e-17
Dayton,1.184838990263e-17
Oklahoma City,1.176878382881625e-17
Sarasota,1.15997683643425e-17
Key West,1.0791355324517499e-17
Tulsa,1.0341549163285e-17
Appleton,1.0051444460305e-17
Lihue,9.609549767921248e-18
Eagle,9.08743524350625e-18
Greensboro,9.0612127473875e-18
,9.049604127106874e-18
Akron,8.872732542336249e-18
South Bend,8.77885409714625e-18
Montrose,8.752760440757498e-18
Santa Barbara,8.752471896731248e-18
Traverse City,8.7370871899025e-18
Peoria,8.5235710269e-18
Moline,8.48180411965625e-18
Knoxville,7.982286513416249e-18
Manchester,7.701104716971249e-18
Lexington,7.63312499798e-18
Little Rock,7.567502793030001e-18
Fort Wayne,7.29430811324625e-18
Kalamazoo,7.2525412060025e-18
Lansing,7.2525412060025e-18
Sioux Falls,7.25098066374125e-18
Evansville,7.2092137564975e-18
Medford,7.055960859332498e-18
Flint,6.99725813575625e-18
Charlottesville,6.99725813575625e-18
Anchorage,6.987398749956251e-18
Providence,6.3474038498337494e-18
Birmingham,6.032745312632501e-18
Harrisburg,5.7679952221024996e-18
Allentown,5.7679952221024996e-18
Imperial,5.755180895545e-18
Monterey,5.75279399201875e-18
Melbourne,5.75279399201875e-18
Fargo,5.7246677725975e-18
Hailey,5.321634677813749e-18
Redding,5.029816024786249e-18
Aguadilla,4.939826287927499e-18
Lubbock,4.648488619055e-18
Bloomington,4.32521614544625e-18
Pensacola,4.221810886022501e-18
Dubuque,4.19835488145375e-18
Lincoln,4.19835488145375e-18
Harlingen,4.0074319547725e-18
Huntsville,3.8491739548962505e-18
Pasco,3.65570014457e-18
Nantucket,3.3469686567799997e-18
Saginaw,3.1392806812974995e-18
Bismarck,2.925764518295e-18
Asheville,2.925764518295e-18
La Crosse,2.8839976110512498e-18
Erie,2.8839976110512498e-18
White Plains,2.8839976110512498e-18
Hancock,2.7989032543025e-18
Eau Claire,2.7989032543025e-18
Muskegon,2.7989032543025e-18
Paducah,2.7989032543025e-18
Roanoke,2.7989032543025e-18
Toledo,2.7989032543025e-18
Kalispell,2.3786169552812502e-18
Mammoth Lakes,2.15699938406625e-18
Panama City,1.8820397990737503e-18
Chattanooga,1.6531741551362499e-18
Manhattan,1.6531741551362499e-18
Lafayette,1.6517732756575e-18
Ponce,1.6466087626424997e-18
Worcester,1.6466087626424997e-18
Bangor,1.6466087626424997e-18
Fairbanks,1.6319422135500002e-18
Shreveport,1.5497688957124999e-18
Joplin,1.52631289114375e-18
Corpus Christi,1.524912011665e-18
Hilo,1.43879522388625e-18
Watertown,1.39945162715125e-18
